2013.167,1.1,193.5845,6,24.96571,121.54089
2013,13.2,492.2313,5,24.96515,121.53737
2013.083,0,274.0144,1,24.9748,121.53059
2012.917,12.7,170.1289,1,24.97371,121.52984
2012.667,20.2,2185.128,3,24.96322,121.51237
2013.583,32.5,424.5442,8,24.97587,121.53913
2012.917,15.9,289.3248,5,24.98203,121.54348
2013.25,16.2,289.3248,5,24.98203,121.54348
2012.917,31.9,1146.329,0,24.9492,121.53076
2013.583,6.6,90.45606,9,24.97433,121.5431
2013.5,25.3,1583.722,3,24.96622,121.51709
2013.5,4,2147.376,3,24.96299,121.51284
2012.833,5.1,1867.233,2,24.98407,121.51748
2012.833,31.7,1160.632,0,24.94968,121.53009
2013.083,38.6,804.6897,4,24.97838,121.53477
2013.417,14.7,1717.193,2,24.96447,121.51649
2013.417,33.6,371.2495,8,24.97254,121.54059
2012.833,3.4,56.47425,7,24.95744,121.53711
2012.917,17.3,2261.432,4,24.96182,121.51222
2013.083,15.1,383.2805,7,24.96735,121.54464
2013,30.9,6396.283,1,24.94375,121.47883
2013.417,17.9,1783.18,3,24.96731,121.51486
2013.25,5.4,390.5684,5,24.97937,121.54245
2013.5,13.6,319.0708,6,24.96495,121.54277
2012.75,13.5,4197.349,0,24.93885,121.50383
2012.833,12.7,187.4823,1,24.97388,121.52981
2012.833,16.2,4074.736,0,24.94235,121.50357
2012.833,0,274.0144,1,24.9748,121.53059
2012.917,40.9,167.5989,5,24.9663,121.54026
2013.083,41.3,401.8807,4,24.98326,121.5446
2013.5,25.9,4519.69,0,24.94826,121.49587
2013.333,5.1,1559.827,3,24.97213,121.51627
2012.667,32.7,392.4459,6,24.96398,121.5425
2013,18,1414.837,1,24.95182,121.54887
2013.25,16.5,323.655,6,24.97841,121.54281
2013.083,37.7,490.3446,0,24.97217,121.53471
2012.917,5.9,90.45606,9,24.97433,121.5431
2013,13.7,4082.015,0,24.94155,121.50381
2013.583,30.6,431.1114,10,24.98123,121.53743
2013.083,41.4,281.205,8,24.97345,121.54093
2013.583,35.7,579.2083,2,24.9824,121.54619
2013.167,21.3,537.7971,4,24.97425,121.53814
2012.917,32,84.87882,10,24.98298,121.54024
2012.75,15.6,752.7669,2,24.97795,121.53451
2012.75,13,492.2313,5,24.96515,121.53737
2012.917,9.9,279.1726,7,24.97528,121.54541
2012.917,17.7,451.6419,8,24.96945,121.5449
2012.75,14.1,2615.465,0,24.95495,121.56174
2012.667,1.5,23.38284,7,24.96772,121.54102
2012.667,32.9,87.30222,10,24.983,121.54022
2013.25,1.1,193.5845,6,24.96571,121.54089
2013.25,3.8,383.8624,5,24.98085,121.54391
2013.417,35.3,614.1394,7,24.97913,121.53666
2013.167,27.5,394.0173,7,24.97305,121.53994
2013.083,30.2,472.1745,3,24.97005,121.53758
2013.167,13.8,4082.015,0,24.94155,121.50381
2013.417,36.1,519.4617,5,24.96305,121.53758
2012.917,13.7,1236.564,1,24.97694,121.55391
2012.833,20.5,2185.128,3,24.96322,121.51237
2013.167,16.2,289.3248,5,24.98203,121.54348
2013.083,7.6,2175.03,3,24.96305,121.51254
2013.083,29.3,1487.868,2,24.97542,121.51726
2013.167,13.8,4082.015,0,24.94155,121.50381
